id;name;pronunciation;meaning;weight;length;height;diet;created_by;created_dt;modified_by;modified_dt;epoch_it_lived_id;clade_id
1;override Quality deposit;Lead Garden New Jersey;pink Branding;446;871;701;OMNIVORE;26356;2020-02-24T04:00:25;62219;2020-02-24T06:37:38;1;1
2;bus;Keyboard transmitting;SAS synthesize e-business;51;513;475;OMNIVORE;16769;2020-02-24T06:40:12;71459;2020-02-24T13:12:04;2;2
3;benchmark panel;Gorgeous Fresh Gloves Markets hacking;Bedfordshire;52;620;625;OMNIVORE;38306;2020-02-23T20:27:12;84023;2020-02-24T11:32:31;3;3
4;Libyan Arab Jamahiriya New Leu;initiatives invoice Bahamian Dollar;Integration Computer;516;121;838;HERBIVORE;88182;2020-02-24T09:07:26;94451;2020-02-23T20:55:30;4;4
5;wireless;Future Generic initiatives;Brand Rhode Island;713;678;455;CARNIVORE;13207;2020-02-24T08:15:35;14096;2020-02-23T19:09:53;5;5
6;Incredible;hard drive intranet value-added;Pine Engineer;418;889;356;CARNIVORE;29114;2020-02-24T15:35:45;88268;2020-02-24T09:10:36;6;6
7;Kyrgyz Republic Steel Keyboard;Fantastic Steel Tuna back up;connecting;953;520;648;OMNIVORE;69118;2020-02-24T06:33:59;64501;2020-02-24T08:25:49;7;7
8;Martinique;ROI program Argentina;South Georgia and the South Sandwich Islands Andorra;980;337;282;OMNIVORE;48311;2020-02-24T07:54:45;49529;2020-02-24T12:23:04;8;8
9;Cambridgeshire;mindshare deposit Soft;array Markets;3;922;339;CARNIVORE;53701;2020-02-24T15:16:14;41600;2020-02-24T10:59:53;9;9
10;Fully-configurable connecting;user-facing indexing National;sky blue pricing structure virtual;64;792;225;CARNIVORE;70581;2020-02-24T04:25:08;96586;2020-02-24T11:57:12;10;10
