id;name;jhi_order;definition;created_dt
1;Branding platforms Bedfordshire;948;../fake-data/blob/hipster.txt;2020-02-23T16:53:34
2;payment Turnpike;353;../fake-data/blob/hipster.txt;2020-02-23T21:55:17
3;Jewelery Future Robust;313;../fake-data/blob/hipster.txt;2020-02-24T15:32:03
4;service-desk deposit;29;../fake-data/blob/hipster.txt;2020-02-24T10:38:39
5;programming Plastic panel;704;../fake-data/blob/hipster.txt;2020-02-24T05:48:06
6;Identity Plastic;490;../fake-data/blob/hipster.txt;2020-02-24T03:41:12
7;Home Loan Account Tuna Human;930;../fake-data/blob/hipster.txt;2020-02-23T22:16:21
8;disintermediate;806;../fake-data/blob/hipster.txt;2020-02-24T10:51:31
9;Rustic;699;../fake-data/blob/hipster.txt;2020-02-24T08:34:30
10;Checking Account;900;../fake-data/blob/hipster.txt;2020-02-24T04:42:19
