id;dinosaur;by_user;when_dt;lat;lng;number;heading;notes
1;86309;62007;2020-02-24T02:51:29;79455;54931;0;EAST;Gloves
2;9428;28542;2020-02-24T11:56:24;1739;14643;601;SOUTH;Table Executive
3;71827;57776;2020-02-24T07:52:32;35324;21910;443;NORTHWEST;Credit Card Account encoding sky blue
4;46863;34280;2020-02-23T22:39:33;93352;90470;834;WEST;International focus group
5;20706;86861;2020-02-23T22:19:49;13878;16243;124;SOUTH;Garden Computer Specialist
6;90734;44289;2020-02-24T10:33:37;10903;60585;413;NORTHEAST;overriding
7;42919;24441;2020-02-23T20:32:42;67453;20226;689;SOUTHWEST;hacking Horizontal
8;15332;39463;2020-02-23T22:50:22;3215;60349;515;SOUTHEAST;Chips Salad
9;771;19337;2020-02-23T18:21:03;17588;10826;623;STATIONARY;Checking Account auxiliary
10;98261;66301;2020-02-24T15:45:43;72344;12331;250;NORTH;Circle Falkland Islands (Malvinas)
